IP	Date	CPU	%user	%nice	%system	%iowait	%steal	%idle
10-0-0-66	10/18/2021 4:59:32 PM	all	8.59	0	8.59	0.37	1.84	80.61
10-0-0-66	10/18/2021 4:59:37 PM	all	9.07	0	8.32	0.5	1.74	80.37
10-0-0-66	10/18/2021 4:59:42 PM	all	10.06	0	9.57	0.5	1.86	78.01
10-0-0-66	10/18/2021 4:59:47 PM	all	9.36	0	8.99	0.37	1.72	79.56
10-0-0-66	10/18/2021 4:59:52 PM	all	9.74	0	9.12	0.62	1.73	78.79
10-0-0-66	10/18/2021 4:59:57 PM	all	9.55	0	9.3	0.49	1.59	79.07
10-0-0-66	10/18/2021 5:00:02 PM	all	9.52	0	8.67	0.49	1.71	79.61
10-0-0-66	10/18/2021 5:00:07 PM	all	9.08	0	9.45	0.49	1.84	79.14
10-0-0-66	10/18/2021 5:00:12 PM	all	9.34	0	9.84	0.5	1.74	78.58
10-0-0-66	10/18/2021 5:00:17 PM	all	9.67	0	8.55	0.5	1.86	79.43
10-0-0-66	10/18/2021 5:00:22 PM	all	9.85	0	8.98	0.5	1.75	78.93
10-0-0-66	10/18/2021 5:00:27 PM	all	9.29	0	9.67	0.37	1.86	78.81
10-0-0-66	10/18/2021 5:00:32 PM	all	9.22	0	9.46	0.5	1.74	79.08
10-0-0-66	10/18/2021 5:00:37 PM	all	9.55	0	8.81	0.61	1.71	79.31
10-0-0-66	10/18/2021 5:00:42 PM	all	9.45	0	9.08	0.37	1.84	79.26
10-0-0-66	10/18/2021 5:00:47 PM	all	9.11	0	8.87	0.49	1.72	79.8
10-0-0-66	10/18/2021 5:00:52 PM	all	3.39	0	3.61	0.11	1.2	91.69
10-0-0-66	10/18/2021 5:00:57 PM	all	0.71	0	1.02	0	0.51	97.76
10-0-0-66	10/18/2021 5:01:02 PM	all	1.02	0	1.43	0	0.51	97.03
10-0-0-66	10/18/2021 5:01:07 PM	all	0.92	0	0.71	0	0.92	97.46
10-0-0-66	10/18/2021 5:01:12 PM	all	0.92	0	1.02	0	0.61	97.44
10-0-0-66	10/18/2021 5:01:17 PM	all	0.71	0	0.92	0	0.61	97.76
10-0-0-66	10/18/2021 5:01:22 PM	all	0.92	0	0.92	0	0.61	97.55
10-0-0-66	10/18/2021 5:01:27 PM	all	0.61	0	1.02	0	0.72	97.65
10-0-0-66	10/18/2021 5:01:32 PM	all	0.82	0	0.72	0	0.61	97.85
10-0-0-66	10/18/2021 5:01:37 PM	all	0.51	0	1.02	0	0.51	97.96
10-0-0-66	10/18/2021 5:01:42 PM	all	1.02	0	1.02	0	0.61	97.35
10-0-0-66	10/18/2021 5:01:47 PM	all	0.71	0	0.92	0	0.51	97.86
